Player,Team,Country,Team Nationality,Goals,Penalty Goals,Team Total Goals
Germán Cano,Fluminense RJ,Argentina,Brasil,13,0,24
Paulinho,Atlético Mineiro,Brasil,Brasil,7,0,14
Dorlan Pabón,Atlético Nacional,Colombia,Colombia,6,2,12
Alan Patrick,Internacional,Brasil,Brasil,5,1,19
Artur,Palmeiras,Brasil,Brasil,5,0,22
Luciano Pons,Independiente Medellín,Argentina,Colombia,5,0,16
Luis Advíncula,Boca Juniors,Perú,Argentina,4,0,13
Rubén Bentancourt,Liverpool,Uruguay,Uruguay,4,1,4
Ronnie Fernández,Bolívar,Chile,Bolivia,4,0,13
John Kennedy,Fluminense RJ,Brasil,Brasil,4,0,24
Guillermo Paiva,Club Olimpia,Paraguay,Paraguay,4,0,17
Enrique Triverio,The Strongest,Argentina,Bolivia,4,1,5
Enner Valencia,Internacional,Ecuador,Brasil,4,0,19
Vítor Roque,Athletico Paranaense,Brasil,Brasil,4,0,12
15. Claudio Aquino,Cerro Porteño,Argentina,Paraguay,3,2,10
Irven Ávila,Sporting Cristal,Perú,Perú,3,0,14
Esequiel Barco,River Plate,Argentina,Argentina,3,1,14
Diego Bejarano,Bolívar,Bolivia,Bolivia,3,0,13
Lucas Beltrán,River Plate,Argentina,Argentina,3,1,14
Bruno Henrique,Flamengo RJ,Brasil,Brasil,3,0,13
Fernando Cardozo,Club Olimpia,Paraguay,Paraguay,3,0,17
Washington Corozo,Sporting Cristal,Ecuador,Perú,3,0,14
Bernardo Cuesta,FBC Melgar,Argentina,Perú,3,1,9
Lautaro Díaz,Independiente del Valle,Argentina,Ecuador,3,0,11
Gustavo Gómez,Palmeiras,Paraguay,Brasil,3,0,22
Michael Hoyos,Independiente del Valle,Argentina,Ecuador,3,0,11
Hulk,Atlético Mineiro,Brasil,Brasil,3,0,14
Igor Gomes,Atlético Mineiro,Brasil,Brasil,3,0,14
Luiz Adriano,Internacional,Brasil,Brasil,3,0,19
Tomás Martínez,FBC Melgar,Argentina,Perú,3,1,9
Gabriel Mercado,Internacional,Argentina,Brasil,3,0,19
Pedro,Flamengo RJ,Brasil,Brasil,3,0,13
Gonzalo Piovi,Racing Club,Argentina,Argentina,3,2,16
Joaquín Piquerez,Palmeiras,Uruguay,Brasil,3,0,22
Raphael Veiga,Palmeiras,Brasil,Brasil,3,2,22
Roger Guedes,Corinthians SP,Brasil,Brasil,3,0,7
Matías Rojas,Racing Club,Paraguay,Argentina,3,0,16
Rony,Palmeiras,Brasil,Brasil,3,0,22
Pablo Solari,River Plate,Argentina,Argentina,3,0,14
40. Alex Santana,Athletico Paranaense,Bulgaria,Brasil,2,0,12
Rodrigo Aliendro,River Plate,Argentina,Argentina,2,0,14
Jhon Arias,Fluminense RJ,Colombia,Brasil,2,0,24
Emerson Batalla,Independiente Medellín,Colombia,Colombia,2,0,16
Jonathan Bauman,Barcelona,Argentina,Ecuador,2,1,7
Damián Bobadilla,Cerro Porteño,Paraguay,Paraguay,2,0,10
Brenner,Sporting Cristal,Brasil,Perú,2,0,14
Facundo Bruera,Club Olimpia,Argentina,Paraguay,2,0,17
Javier Cabrera,Argentinos Juniors,Uruguay,Argentina,2,0,8
Maximiliano Cantera,Atlético Nacional,Uruguay,Colombia,2,0,12
Óscar Cardozo,Libertad,Paraguay,Paraguay,2,1,5
